"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","ID","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
35462,"N","BALTIMORE, MD",21144,"7/9/2010","10255","3822","BAY NATIONAL BANK",217743,212612,"FAILURE","PA","DIF"
58072,"NM","PORT CHESTER, NY",63537,"7/9/2010","10254","3823","USA BANK",190678,188644,"FAILURE","PA","DIF"
26563,"NM","ENGLEWOOD, FL",184045,"6/25/2010","10253","3817","PENINSULA BANK",630179,580140,"FAILURE","PA","DIF"
34152,"N","SAVANNAH, GA",78167,"6/25/2010","10251","3818","FIRST NATIONAL BANK",252520,231857,"FAILURE","PA","DIF"
35279,"NM","ALBUQUERQUE, NM",28392,"6/25/2010","10252","3819","HIGH DESERT STATE BANK",80343,80985,"FAILURE","PA","DIF"
57110,"NM","RENO, NV",70039,"6/18/2010","10250","3816","NEVADA SECURITY BANK",492491,479759,"FAILURE","PA","DIF"
32955,"NM","SEATTLE, WA",95151,"6/11/2010","10249","3815","WASHINGTON FIRST INTERNATIONAL BANK",520887,441362,"FAILURE","PA","DIF"
15814,"N","ROSEDALE, MS",18085,"6/4/2010","10247","3812","FIRST NATIONAL BANK",60449,63483,"FAILURE","PA","DIF"
29341,"SB","LINCOLN, NE",0,"6/4/2010","10248","3813","TIERONE BANK",2824737,2185817,"FAILURE","PA","DIF"
31813,"SI","ARCOLA, IL",11534,"6/4/2010","10246","3814","ARCOLA HOMESTEAD SAVINGS BANK",17028,18092,"FAILURE","PO","DIF"
34785,"NM","LAS VEGAS, NV",115960,"5/28/2010","10245","3807","SUN WEST BANK",360662,353943,"FAILURE","PA","DIF"
35106,"NM","NAPLES, FL",87638,"5/28/2010","10242","3808","BANK OF FLORIDA - SOUTHWEST",640894,559897,"FAILURE","PA","DIF"
57315,"N","GRANITE BAY, CA",13175,"5/28/2010","10244","3809","GRANITE COMMUNITY BANK, NATIONAL ASSOCIATION",102913,94252,"FAILURE","PA","DIF"
57360,"NM","FORT LAUDERDALE, FL",60470,"5/28/2010","10241","3810","BANK OF FLORIDA - SOUTHEAST",595318,531752,"FAILURE","PA","DIF"
57814,"NM","TAMPA BAY, FL",30582,"5/28/2010","10243","3811","BANK OF FLORIDA - TAMPA BAY",240513,224024,"FAILURE","PA","DIF"
57735,"NM","ST. PAUL, MN",8410,"5/21/2010","10240","3806","PINEHURST BANK",61215,58288,"FAILURE","PA","DIF"
18117,"SM","ELMWOOD PARK, IL",0,"5/14/2010","10236","3802","MIDWEST BANK AND TRUST COMPANY",3172915,2420738,"FAILURE","PA","DIF"
34255,"NM","SPRINGFIELD, MO",25580,"5/14/2010","10239","3803","SOUTHWEST COMMUNITY BANK",100659,102463,"FAILURE","PA","DIF"
35114,"NM","SAINT MARYS, GA",36321,"5/14/2010","10238","3804","SATILLA COMMUNITY BANK",135688,134005,"FAILURE","PA","DIF"
35586,"NM","PLYMOUTH, MI",23558,"5/14/2010","10237","3805","NEW LIBERTY BANK",111239,101884,"FAILURE","PA","DIF"
14246,"NM","BONIFAY, FL",65887,"5/7/2010","10234","3798","THE BANK OF BONIFAY",242871,230190,"FAILURE","PA","DIF"
16476,"NM","CHAMPLIN, MN",7916,"5/7/2010","10233","3799","ACCESS BANK",31996,31969,"FAILURE","PA","DIF"
35517,"SM","SAN DIEGO, CA",6342,"5/7/2010","10232","3800","1st PACIFIC BANK OF CALIFORNIA",335798,291173,"FAILURE","PA","DIF"
57697,"NM","MESA, AZ",44322,"5/7/2010","10235","3801","TOWNE BANK OF ARIZONA",120246,113243,"FAILURE","PA","DIF"
17792,"N","BUTLER, MO",8620,"4/30/2010","10225","3791","BC NATIONAL BANKS",52204,43635,"FAILURE","PA","DIF"
22710,"NM","EVERETT, WA",453920,"4/30/2010","10228","3792","FRONTIER BANK",3250734,2846886,"FAILURE","PA","DIF"
27150,"NM","SAN JUAN, PR",539124,"4/30/2010","10229","3793","EUROBANK",2453138,1861350,"FAILURE","PA","DIF"
30005,"SI","PORT HURON, MI",340615,"4/30/2010","10226","3794","CF BANCORP",1599122,1418445,"FAILURE","PA","DIF"
31027,"NM","MAYAGUEZ, PR",2178439,"4/30/2010","10231","3795","WESTERNBANK PUERTO RICO",10797345,8420357,"FAILURE","PA","DIF"
32185,"NM","HATO REY, PR",983714,"4/30/2010","10230","3796","R-G PREMIER BANK OF PUERTO RICO",5681177,4220108,"FAILURE","PA","DIF"
58362,"NM","CREVE COEUR, MO",57091,"4/30/2010","10227","3797","CHAMPION BANK",195510,162816,"FAILURE","PA","DIF"
3735,"N","ROCKFORD, IL",15797,"4/23/2010","10218","3784","AMCORE BANK, NATIONAL ASSOCIATION",3066240,2743485,"FAILURE","PA","DIF"
10888,"NM","PEOTONE, IL",45596,"4/23/2010","10223","3785","PEOTONE BANK AND TRUST COMPANY",130165,124676,"FAILURE","PA","DIF"
22853,"NM","CHICAGO, IL",377438,"4/23/2010","10219","3786","BROADWAY BANK",1059194,1023421,"FAILURE","PA","DIF"
30600,"SI","CHICAGO, IL",37917,"4/23/2010","10221","3787","LINCOLN PARK SAVINGS BANK",194618,162627,"FAILURE","PA","DIF"
34658,"NM","CHICAGO, IL",41327,"4/23/2010","10220","3788","CITIZENS BANK & TRUST COMPANY OF CHICAGO",73490,72772,"FAILURE","PA","DIF"
34821,"NM","CHICAGO, IL",132056,"4/23/2010","10222","3789","NEW CENTURY BANK",447239,438999,"FAILURE","PA","DIF"
58429,"NM","NAPERVILLE, IL",189658,"4/23/2010","10224","3790","WHEATLAND BANK",441694,448917,"FAILURE","PA","DIF"
21521,"NM","LYNNWOOD, WA",154993,"4/16/2010","10212","3776","CITY BANK",981913,919606,"FAILURE","PA","DIF"
23876,"NM","OAKLAND, CA",22715,"4/16/2010","10214","3777","INNOVATIVE BANK",266816,223164,"FAILURE","PA","DIF"
24067,"N","FORT PIERCE, FL",0,"4/16/2010","10216","3778","RIVERSIDE NATIONAL BANK OF FLORIDA",3393818,2724475,"FAILURE","PA","DIF"
26619,"SI","LOWELL, MA",18261,"4/16/2010","10211","3779","BUTLER BANK",245534,227420,"FAILURE","PA","DIF"
28886,"SB","PALATKA, FL",11969,"4/16/2010","10213","3780","FIRST FEDERAL BANK OF NORTH FLORIDA",440122,369617,"FAILURE","PA","DIF"
33493,"NM","SAN RAFAEL, CA",0,"4/16/2010","10217","3781","TAMALPAIS BANK",611504,457206,"FAILURE","PA","DIF"
34878,"NM","STERLING HEIGHTS, MI",20977,"4/16/2010","10215","3782","LAKESIDE COMMUNITY BANK",49173,48622,"FAILURE","PO","DIF"
57724,"NM","CLERMONT, FL",16404,"4/16/2010","10210","3783","AMERICANFIRST BANK",104034,100070,"FAILURE","PA","DIF"
34242,"N","MYRTLE BEACH, SC",164585,"4/9/2010","10209","3775","BEACH FIRST NATIONAL BANK",590024,521138,"FAILURE","PA","DIF"
34678,"N","CARTERSVILLE, GA",73589,"3/26/2010","10208","3771","UNITY NATIONAL BANK",300590,264286,"FAILURE","PA","DIF"
34684,"SB","KEY WEST, FL",16210,"3/26/2010","10206","3772","KEY WEST BANK",88031,67662,"FAILURE","PA","DIF"
57060,"NM","PHOENIX, AZ",108862,"3/26/2010","10205","3773","DESERT HILLS BANK",496552,426473,"FAILURE","PA","DIF"
57399,"NM","CARROLLTON, GA",164026,"3/26/2010","10207","3774","MCINTOSH COMMERCIAL BANK",363405,343339,"FAILURE","PA","DIF"
8221,"NM","AURORA, MN",7026,"3/19/2010","10203","3764","STATE BANK OF AURORA",28159,27801,"FAILURE","PA","DIF"
10054,"NM","HIAWASSEE, GA",107263,"3/19/2010","10202","3765","BANK OF HIAWASSEE",377779,339597,"FAILURE","PA","DIF"
18806,"N","PARMA, OH",14960,"3/19/2010","10201","3766","AMERICAN NATIONAL BANK",70318,66752,"FAILURE","PA","DIF"
24957,"NM","FORT DEPOSIT, AL",11725,"3/19/2010","10204","3767","FIRST LOWNDES BANK",137175,131117,"FAILURE","PA","DIF"
33535,"NM","DRAPER, UT",521525,"3/19/2010","10200","3768","ADVANTA BANK CORP.",1525931,1519471,"FAILURE","PO","DIF"
33989,"NM","ELLIJAY, GA",456455,"3/19/2010","10199","3769","APPALACHIAN COMMUNITY BANK",1010075,917575,"FAILURE","PA","DIF"
58104,"NM","DULUTH, GA",37707,"3/19/2010","10198","3770","CENTURY SECURITY BANK",96535,93967,"FAILURE","PA","DIF"
27096,"NM","NEW YORK, NY",76368,"3/12/2010","10195","3761","THE PARK AVENUE BANK",520146,494505,"FAILURE","PA","DIF"
29561,"NM","COVINGTON, LA",26124,"3/12/2010","10196","3762","STATEWIDE BANK",243215,207821,"FAILURE","PA","DIF"
58182,"SM","ORLANDO, FL",76501,"3/12/2010","10197","3763","OLD SOUTHERN BANK",336390,319746,"FAILURE","PA","DIF"
58071,"NM","NEW YORK, NY",18407,"3/11/2010","10194","3760","LIBERTYPOINTE BANK",216500,209477,"FAILURE","PA","DIF"
9268,"SM","NORMAL, IL",18737,"3/5/2010","10191","3756","BANK OF ILLINOIS",211711,198487,"FAILURE","PA","DIF"
27126,"SM","BOCA RATON, FL",122301,"3/5/2010","10192","3757","SUN AMERICAN BANK",535724,443481,"FAILURE","PA","DIF"
34430,"NM","OGDEN, UT",70552,"3/5/2010","10193","3758","CENTENNIAL BANK",212839,205076,"FAILURE","PO","DIF"
34976,"SB","GERMANTOWN, MD",11322,"3/5/2010","10190","3759","WATERFIELD BANK",155566,156188,"FAILURE","DINB","DIF"
38129,"SI","TACOMA, WA",2752,"2/26/2010","10189","3754","RAINIER PACIFIC BANK",717806,446192,"FAILURE","PA","DIF"
58352,"NM","CARSON CITY, NV",14451,"2/26/2010","10188","3755","CARSON RIVER COMMUNITY BANK",51095,50024,"FAILURE","PA","DIF"
3287,"N","LA COSTE, TX",5709,"2/19/2010","10186","3750","THE LA COSTE NATIONAL BANK",53936,49275,"FAILURE","PA","DIF"
29952,"SI","ORLAND PARK, IL",118852,"2/19/2010","10184","3751","GEORGE WASHINGTON SAVINGS BANK",413673,395310,"FAILURE","PA","DIF"
32423,"SB","LA JOLLA, CA",560147,"2/19/2010","10185","3752","LA JOLLA BANK, FSB",3646071,2799362,"FAILURE","PA","DIF"
57586,"SM","MARCO ISLAND, FL",25614,"2/19/2010","10187","3753","MARCO COMMUNITY BANK",119578,117097,"FAILURE","PA","DIF"
15448,"NM","HANCOCK, MN",4521,"2/5/2010","10183","3749","1ST AMERICAN STATE BANK OF MINNESOTA",18155,16327,"FAILURE","PA","DIF"
5672,"NM","IMMOKALEE, FL",308984,"1/29/2010","10181","3743","FLORIDA COMMUNITY BANK",835701,776556,"FAILURE","PA","DIF"
5702,"NM","CORNELIA, GA",477153,"1/29/2010","10180","3744","COMMUNITY BANK & TRUST",1181717,1067957,"FAILURE","PA","DIF"
16133,"N","HALLOCK, MN",1063,"1/29/2010","10182","3745","MARSHALL BANK, NATIONAL ASSOCIATION",58566,55662,"FAILURE","PA","DIF"
16480,"N","CARROLLTON, GA",203881,"1/29/2010","10179","3746","FIRST NATIONAL BANK OF GEORGIA",840633,780196,"FAILURE","PA","DIF"
16730,"NM","BAINBRIDGE ISLAND, WA",28352,"1/29/2010","10178","3747","AMERICAN MARINE BANK",329246,287443,"FAILURE","PA","DIF"
23011,"NM","LOS ANGELES, CA",224134,"1/29/2010","10177","3748","FIRST REGIONAL BANK",2082684,1664450,"FAILURE","PA","DIF"
8265,"NM","LEETON, MO",7092,"1/22/2010","10174","3738","BANK OF LEETON",20128,20335,"FAILURE","PA","DIF"
20501,"NM","SEATTLE, WA",43422,"1/22/2010","10172","3739","EVERGREEN BANK",395980,340378,"FAILURE","PA","DIF"
22469,"NM","THE DALLES, OR",54899,"1/22/2010","10176","3740","COLUMBIA RIVER BANK",955112,908132,"FAILURE","PA","DIF"
32498,"SB","SANTA FE, NM",127197,"1/22/2010","10175","3741","CHARTER BANK",1201922,859933,"FAILURE","PA","DIF"
57147,"NM","MIAMI, FL",84454,"1/22/2010","10173","3742","PREMIER AMERICAN BANK",299225,285554,"FAILURE","PA","DIF"
1252,"SM","KAYSVILLE, UT",106940,"1/15/2010","10171","3735","BARNES BANKING COMPANY",709171,697109,"FAILURE","DINB","DIF"
17522,"NM","ST. STEPHEN, MN",7707,"1/15/2010","10169","3736","ST. STEPHEN STATE BANK",22895,23912,"FAILURE","PA","DIF"
34705,"NM","ANTIOCH, IL",23289,"1/15/2010","10170","3737","TOWN COMMUNITY BANK AND TRUST",70758,68323,"FAILURE","PA","DIF"
22977,"NM","BELLINGHAM, WA",205488,"1/8/2010","10168","3734","HORIZON BANK",1188956,1049063,"FAILURE","PA","DIF"
1006,"NM","NEW BALTIMORE, MI",68254,"12/18/2009","10162","3727","CITIZENS STATE BANK",168551,157149,"FAILURE","DINB","DIF"
26348,"NM","LA JOLLA, CA",271282,"12/18/2009","10161","3728","IMPERIAL CAPITAL BANK",4046888,2822300,"FAILURE","PA","DIF"
26820,"SM","SPRINGFIELD, IL",0,"12/18/2009","10166","3729","INDEPENDENT BANKERS' BANK",585508,511473,"FAILURE","PI","DIF"
28536,"SB","SANTA MONICA, CA",0,"12/18/2009","10167","3730","FIRST FEDERAL BANK OF CALIFORNIA,  A FEDERAL SAVINGS BANK",6143903,4538607,"FAILURE","PA","DIF"
32167,"SB","PANAMA CITY, FL",597058,"12/18/2009","10165","3731","PEOPLES FIRST COMMUNITY BANK",1795420,1684443,"FAILURE","PA","DIF"
32276,"SB","IRONDALE, AL",311641,"12/18/2009","10163","3732","NEW SOUTH FEDERAL SAVINGS BANK",1464127,1163916,"FAILURE","PA","DIF"
58315,"NM","ATLANTA, GA",98872,"12/18/2009","10164","3733","ROCKBRIDGE COMMERCIAL BANK",294024,291707,"FAILURE","PO","DIF"
4731,"SM","OVERLAND PARK, KS",93393,"12/11/2009","10160","3724","SOLUTIONSBANK",511103,421271,"FAILURE","PA","DIF"
22846,"N","MIAMI, FL",77977,"12/11/2009","10158","3725","REPUBLIC FEDERAL BANK, N.A.",433011,352695,"FAILURE","PA","DIF"
58399,"N","MESA, AZ",15047,"12/11/2009","10159","3726","VALLEY CAPITAL BANK, N.A.",40270,41312,"FAILURE","PA","DIF"
10440,"NM","AURORA, IL",79321,"12/4/2009","10154","3718","BENCHMARK BANK",173062,182760,"FAILURE","PA","DIF"
12080,"NM","REIDSVILLE, GA",14705,"12/4/2009","10153","3719","THE TATNALL BANK",49612,47100,"FAILURE","PA","DIF"
26290,"N","NORCROSS, GA",34282,"12/4/2009","10157","3720","FIRST SECURITY NATIONAL BANK",127455,121645,"FAILURE","PA","DIF"
29776,"SB","CLEVELAND, OH",1698479,"12/4/2009","10155","3721","AMTRUST BANK",11438990,8558609,"FAILURE","PA","DIF"
32583,"SB","RESTON, VA",26610,"12/4/2009","10156","3722","GREATER ATLANTIC BANK",203262,179248,"FAILURE","PA","DIF"
34663,"NM","ATLANTA, GA",310552,"12/4/2009","10152","3723","THE BUCKHEAD COMMUNITY BANK",856236,813668,"FAILURE","PA","DIF"
58016,"NM","FORT MYERS, FL",32236,"11/20/2009","10151","3717","COMMERCE BANK OF SOUTHWEST FLORIDA",70997,72821,"FAILURE","PA","DIF"
22427,"SM","NAPLES, FL",713129,"11/13/2009","10149","3714","ORION BANK",2612515,2169446,"FAILURE","PA","DIF"
32267,"SB","SARASOTA, FL",306877,"11/13/2009","10148","3715","CENTURY BANK, A FEDERAL SAVINGS BANK",755923,659742,"FAILURE","PA","DIF"
57914,"N","SAN CLEMENTE, CA",33470,"11/13/2009","10150","3716","PACIFIC COAST NATIONAL BANK",131418,128867,"FAILURE","PA","DIF"
19450,"NM","ST LOUIS, MO",11648,"11/6/2009","10146","3709","GATEWAY BANK OF ST LOUIS",26882,27534,"FAILURE","PA","DIF"
22286,"NM","SPARTA, GA",60895,"11/6/2009","10145","3710","UNITED SECURITY BANK",153639,149616,"FAILURE","PA","DIF"
30329,"SB","DETROIT, MI",8612,"11/6/2009","10144","3711","HOME FEDERAL SAVINGS BANK",12994,12730,"FAILURE","PA","DIF"
32469,"NM","SAN FRANCISCO, CA",577447,"11/6/2009","10147","3712","UNITED COMMERCIAL BANK",10895336,7653666,"FAILURE","PA","DIF"
35074,"NM","OAKDALE, MN",31685,"11/6/2009","10143","3713","PROSPERAN BANK",197442,182794,"FAILURE","PA","DIF"
11677,"N","CHICAGO, IL",7537,"10/30/2009","10140","3700","PARK NATIONAL BANK",4680881,3716626,"FAILURE","PA","DIF"
18776,"NM","HOUSTON, TX",12000,"10/30/2009","10138","3701","NORTH HOUSTON BANK",325474,307166,"FAILURE","PA","DIF"
23594,"N","SAN DIEGO, CA",41066,"10/30/2009","10135","3702","SAN DIEGO NATIONAL BANK",3594544,2891576,"FAILURE","PA","DIF"
25222,"N","TEAGUE, TX",5846,"10/30/2009","10141","3703","CITIZENS NATIONAL BANK",118236,97590,"FAILURE","PA","DIF"
30006,"N","SAN FRANCISCO, CA",62860,"10/30/2009","10139","3704","PACIFIC NATIONAL BANK",2319263,1757986,"FAILURE","PA","DIF"
32218,"N","PHOENIX, AZ",11741,"10/30/2009","10136","3705","BANK USA, NA",213205,170685,"FAILURE","PA","DIF"
33782,"NM","MADISONVILLE, TX",0,"10/30/2009","10142","3706","MADISONVILLE STATE BANK",256330,224653,"FAILURE","PA","DIF"
34659,"N","LOS ANGELES, CA",186736,"10/30/2009","10134","3707","CALIFORNIA NATIONAL BANK",7781100,6145207,"FAILURE","PA","DIF"
35291,"NM","LEMONT, IL",25945,"10/30/2009","10137","3708","COMMUNITY BANK OF LEMONT",81843,80688,"FAILURE","PA","DIF"
18321,"SM","RACINE, WI",99463,"10/23/2009","10132","3693","BANK OF ELMWOOD",327444,272782,"FAILURE","PA","DIF"
